airport_code,airport_name,period,terminal_pax,total_pax,transit_pax,mov_charter_EU_international_passenger_atm,mov_charter_all_EU_international_atm,mov_charter_all_domestic_atm,mov_charter_all_non_EU_international_atm,mov_charter_passenger_domestic_atm,mov_charter_passenger_non_EU_international_atm,mov_scheduled_all_EU_international_atm,mov_scheduled_all_domestic_atm,mov_scheduled_all_non_EU_international_atm,mov_scheduled_passenger_EU_international_atm,mov_scheduled_passenger_domestic_atm,mov_scheduled_passenger_non_EU_international_atm,mov_total_EU_atm,mov_total_domestic_atm,mov_total_non_EU_international_atm,covid_anomaly
BFS,BELFAST INTERNATIONAL,201501,237819,237948,129,34,36,337,0,3,0,228.0,1724,79,228,1724,79,264.0,2061,79,False
BFS,BELFAST INTERNATIONAL,201502,273539,273747,208,27,28,326,3,1,2,264.0,1753,70,264,1753,70,292.0,2079,73,False
BFS,BELFAST INTERNATIONAL,201503,331487,331707,220,25,25,352,11,6,11,362.0,1966,96,362,1966,96,387.0,2318,107,False
BFS,BELFAST INTERNATIONAL,201504,340519,340708,189,18,18,334,11,6,11,620.0,1816,76,620,1816,76,638.0,2150,87,False
BFS,BELFAST INTERNATIONAL,201505,393138,393408,270,97,97,336,21,14,21,799.0,1874,72,799,1874,72,896.0,2210,93,False
BFS,BELFAST INTERNATIONAL,201506,428742,428942,200,195,195,372,57,16,57,854.0,1840,76,854,1840,76,1049.0,2212,133,False
BFS,BELFAST INTERNATIONAL,201507,470801,470834,33,263,268,359,72,2,72,928.0,1792,89,928,1792,89,1196.0,2151,161,False
BFS,BELFAST INTERNATIONAL,201508,466607,466732,125,219,219,324,47,4,47,932.0,1782,80,932,1782,80,1151.0,2106,127,False
BFS,BELFAST INTERNATIONAL,201509,415559,415580,21,211,212,357,46,1,45,820.0,1832,68,820,1832,68,1032.0,2189,114,False
BFS,BELFAST INTERNATIONAL,201510,386428,386428,0,82,83,365,25,4,25,605.0,1996,64,605,1996,64,688.0,2361,89,False
BFS,BELFAST INTERNATIONAL,201511,330090,330096,6,59,61,340,4,6,4,323.0,2085,60,323,2085,60,384.0,2425,64,False
BFS,BELFAST INTERNATIONAL,201512,315095,315181,86,66,67,355,3,3,1,307.0,2098,84,307,2098,84,374.0,2453,87,False
